level_1,level_1_name,level_2,level_2_name,level_3,level_4,categorization,applicability
III.,EXPENSES:,(h),Household Help:  Monthly ,2,,Nanny/Au Pair/Child Care,N/A
III.,EXPENSES:,(h),Household Help:  Monthly ,3,,Babysitter,N/A
III.,EXPENSES:,(h),Household Help:  Monthly ,4,,Other,N/A
III.,EXPENSES:,(i),Automobile:  Monthly ,1,,Lease or Loan Payments (indicate lease term),N/A
III.,EXPENSES:,(i),Automobile:  Monthly ,2,,Gas and Oil,
III.,EXPENSES:,(i),Automobile:  Monthly ,3,,Repairs,N/A
III.,EXPENSES:,(i),Automobile:  Monthly ,4,,Car Wash,N/A
III.,EXPENSES:,(i),Automobile:  Monthly ,5,,Parking and tolls,N/A
III.,EXPENSES:,(i),Automobile:  Monthly ,6,,Other,
III.,EXPENSES:,(j),Education Costs:  Monthly,1,,Nursery and Pre-school,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,2,,Primary and Secondary,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,3,,College,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,4,,Post-Graduate,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,5,,Religious Instruction,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,6,,School Transportation,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,7,,School Supplies/Books,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,8,,School Lunches,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,9,,Tutoring,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,10,,School Events,N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,11,,"Child(ren)’s extra-curricular and educational enrichment activities (Dance, Music, Sports, etc.)",N/A
III.,EXPENSES:,(j),Education Costs:  Monthly,12,,Other,N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,1,,Vacations,N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,2,,"Movies, Theatre, Ballet, Etc.",N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,3,,Music (Digital or Physical Media),
III.,EXPENSES:,(k),Recreational:  Monthly ,4,,Recreation Clubs and Memberships,N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,5,,Activities for yourself,N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,6,,Health Club,N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,7,,Summer Camp,N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,8,,Birthday party costs for your child(ren),N/A
III.,EXPENSES:,(k),Recreational:  Monthly ,9,,Other,N/A
III.,EXPENSES:,(l),Income Taxes:  Monthly ,1,,Federal,N/A
III.,EXPENSES:,(l),Income Taxes:  Monthly ,2,,State,N/A
III.,EXPENSES:,(l),Income Taxes:  Monthly ,3,,City,N/A
III.,EXPENSES:,(l),Income Taxes:  Monthly ,4,,Social Security and Medicare,N/A
III.,EXPENSES:,(l),Income Taxes:  Monthly ,5,,Number of dependents claimed in prior tax year,0
III.,EXPENSES:,(l),Income Taxes:  Monthly ,6,,List any refund received by you for prior tax year,
III.,EXPENSES:,(m),Miscellaneous:  Monthly,1,,Beauty parlor/Barber/Spa,
III.,EXPENSES:,(m),Miscellaneous:  Monthly,2,,Toiletries/Non-Prescription Drugs,
III.,EXPENSES:,(m),Miscellaneous:  Monthly,3,,"Books, magazines, newspapers",
III.,EXPENSES:,(m),Miscellaneous:  Monthly,4,,Gifts to others,
III.,EXPENSES:,(m),Miscellaneous:  Monthly,5,,Charitable contributions,N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,6,,Religious organizations dues,N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,7,,Union and organization dues,N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,8,,Commutation expenses,N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,9,,Veterinarian/pet expenses,
III.,EXPENSES:,(m),Miscellaneous:  Monthly,10,,Child support payments (for Child(ren) of a prior marriage or relationship pursuant to court order or agreement),N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,11,,Alimony and maintenance payments (prior marriage pursuant to court order or agreement),N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,12,,Loan payments,N/A
III.,EXPENSES:,(m),Miscellaneous:  Monthly,13,,Unreimbursed business expenses,
III.,EXPENSES:,(m),Miscellaneous:  Monthly,14,,Safe Deposit Box rental fee,N/A
III.,EXPENSES:,(n),Other:  Monthly,1,,,
III.,EXPENSES:,(n),Other:  Monthly,2,,,
III.,EXPENSES:,(n),Other:  Monthly,3,,,
